,index,id,keywords,adult,budget,genres,imdb_id,original_language,original_title,release_date,revenue,runtime,spoken_languages,status,title,movieId,imdbId,rating,authors,average_rating,  num_pages,ratings_count,publisher,sum_of_ratings
0,0,4584,"[{'id': 420, 'name': 'bowling'}, {'id': 818, 'name': 'based on novel'}, {'id': 964, 'name': 'servant'}, {'id': 2755, 'name': 'country life'}, {'id': 7564, 'name': 'jane austen'}, {'id': 10911, 'name': 'inheritance'}, {'id': 11109, 'name': 'military officer'}, {'id': 15060, 'name': 'period drama'}, {'id': 156507, 'name': 'rainstorm'}, {'id': 156510, 'name': 'horse and carriage'}, {'id': 156512, 'name': 'decorum'}]",False,16500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0114388,en,Sense and Sensibility,1995-12-13,135000000.0,136.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Sense and Sensibility,17,114388,3.95,Jane Austen/Claudia L. Johnson,4.07,269,768,W. W. Norton & Company,1773
1,6,10533,"[{'id': 818, 'name': 'based on novel'}, {'id': 2871, 'name': 'burning of witches'}, {'id': 10223, 'name': 'puritan'}, {'id': 13149, 'name': 'pregnancy'}, {'id': 15060, 'name': 'period drama'}, {'id': 34094, 'name': 'extramarital affair'}]",False,50000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",tt0114345,en,The Scarlet Letter,1995-10-13,10382407.0,135.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Scarlet Letter,191,114345,2.69,Nathaniel Hawthorne/Thomas E. Connolly/Nina Baym,3.4,279,609586,Penguin Books,11030
2,18,19101,"[{'id': 818, 'name': 'based on novel'}, {'id': 964, 'name': 'servant'}, {'id': 3551, 'name': 'private school'}, {'id': 5248, 'name': 'female friendship'}, {'id': 6271, 'name': 'boarding school'}, {'id': 6731, 'name': 'british'}, {'id': 10873, 'name': 'school'}, {'id': 12663, 'name': 'little girl'}, {'id': 13014, 'name': 'orphan'}, {'id': 14636, 'name': 'india'}, {'id': 14864, 'name': 'rich poor'}, {'id': 15300, 'name': 'father daughter relationship'}, {'id': 41172, 'name': 'schoolgirl'}, {'id': 155402, 'name': 'presumed dead'}, {'id': 155619, 'name': 'attic'}, {'id': 170344, 'name': 'imagination'}, {'id': 186797, 'name': 'african american servant'}, {'id': 196727, 'name': 'fantasy life'}]",False,17000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",tt0113670,en,A Little Princess,1995-05-10,0.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,A Little Princess,262,113670,3.76,Frances Hodgson Burnett/Nancy Bond,4.2,242,238192,Penguin Books,14769
3,21,7007,"[{'id': 233, 'name': 'japan'}, {'id': 279, 'name': 'usa'}, {'id': 417, 'name': 'corruption'}, {'id': 703, 'name': 'detective'}, {'id': 736, 'name': 'journalist'}, {'id': 818, 'name': 'based on novel'}, {'id': 907, 'name': 'japanese'}, {'id': 1946, 'name': 'restaurant'}, {'id': 2564, 'name': 'wheelchair'}, {'id': 4530, 'name': 'parking garage'}, {'id': 6129, 'name': 'company'}, {'id': 6149, 'name': 'police'}, {'id': 8508, 'name': 'party'}, {'id': 9826, 'name': 'murder'}, {'id': 12570, 'name': 'whodunit'}, {'id': 18100, 'name': 'seppuku'}, {'id': 167618, 'name': 'bulletproof vest'}]",False,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0107969,en,Rising Sun,1993-07-30,107198790.0,125.0,"[{'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Rising Sun,517,107969,3.13,Michael Crichton,3.63,399,42645,Turtleback Books,242476
4,22,11236,"[{'id': 818, 'name': 'based on novel'}, {'id': 964, 'name': 'servant'}, {'id': 1328, 'name': 'secret'}, {'id': 2105, 'name': 'garden'}, {'id': 6464, 'name': 'uncle'}, {'id': 9180, 'name': 'yorkshire'}, {'id': 10183, 'name': 'independent film'}, {'id': 12663, 'name': 'little girl'}, {'id': 13014, 'name': 'orphan'}, {'id': 14636, 'name': 'india'}, {'id': 14659, 'name': 'girl'}, {'id': 170344, 'name': 'imagination'}, {'id': 187056, 'name': 'woman director'}, {'id': 193263, 'name': 'old mansion'}, {'id': 196727, 'name': 'fantasy life'}, {'id': 210200, 'name': 'english garden'}]",False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",tt0108071,en,The Secret Garden,1993-08-13,0.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Secret Garden,531,108071,3.5,Frances Hodgson Burnett,4.13,331,764134,Children's Classics,70604
5,28,274,"[{'id': 818, 'name': 'based on novel'}, {'id': 6259, 'name': 'psychopath'}, {'id': 8087, 'name': 'horror'}, {'id': 9937, 'name': 'suspense'}, {'id': 10714, 'name': 'serial killer'}, {'id': 12565, 'name': 'psychological thriller'}, {'id': 14895, 'name': 'cannibal'}, {'id': 18525, 'name': 'fbi agent'}, {'id': 33872, 'name': 'animal in cast credits'}, {'id': 208048, 'name': 'cannibalism'}]",False,19000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0102926,en,The Silence of the Lambs,1991-02-01,272742922.0,119.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Silence of the Lambs,593,102926,4.15,Yvonne Tasker,4.27,96,510,British Film Institute,17451
6,29,10539,"[{'id': 818, 'name': 'based on novel'}, {'id': 2105, 'name': 'garden'}, {'id': 2143, 'name': 'loss of parents'}, {'id': 2343, 'name': 'magic'}, {'id': 6894, 'name': 'aunt'}, {'id': 15101, 'name': ""based on children's book""}, {'id': 192942, 'name': 'insects'}]",False,38000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",tt0116683,en,James and the Giant Peach,1996-04-12,28921264.0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,James and the Giant Peach,661,116683,3.29,Roald Dahl/Quentin Blake,4.01,146,328542,Alfred A. Knopf,2544
7,32,627,"[{'id': 212, 'name': 'london england'}, {'id': 567, 'name': 'alcohol'}, {'id': 572, 'name': 'sex'}, {'id': 818, 'name': 'based on novel'}, {'id': 1803, 'name': 'drug addiction'}, {'id': 2231, 'name': 'drug dealer'}, {'id': 2334, 'name': 'nightclub'}, {'id': 2375, 'name': 'junkie'}, {'id': 2671, 'name': 'heroin'}, {'id': 2694, 'name': 'cold turkey'}, {'id': 3131, 'name': 'modern society'}, {'id': 3298, 'name': 'hallucination'}, {'id': 6054, 'name': 'friendship'}, {'id': 9887, 'name': 'surrealism'}, {'id': 10123, 'name': 'dark comedy'}, {'id': 10261, 'name': 'stealing'}, {'id': 11635, 'name': 'monologue'}, {'id': 34117, 'name': 'cult film'}, {'id': 155936, 'name': 'recovering drug addict'}, {'id': 156117, 'name': 'illegal drugs'}, {'id': 168179, 'name': 'drug deal'}, {'id': 180431, 'name': 'drug rehabilitation'}, {'id': 206829, 'name': 'drug culture'}, {'id': 230607, 'name': 'antihero'}]",False,4000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",tt0117951,en,Trainspotting,1996-02-23,16491080.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Trainspotting,778,117951,4.01,Murray Smith,4.03,96,75,British Film Institute,555995
8,34,630,"[{'id': 616, 'name': 'witch'}, {'id': 704, 'name': 'adolescence'}, {'id': 818, 'name': 'based on novel'}, {'id': 1308, 'name': 'secret identity'}, {'id': 1507, 'name': 'clock'}, {'id': 1566, 'name': 'dream'}, {'id': 2043, 'name': 'lion'}, {'id': 2213, 'name': 'tornado'}, {'id': 3151, 'name': 'scarecrow'}, {'id': 4344, 'name': 'musical'}, {'id': 4639, 'name': 'crow'}, {'id': 6027, 'name': 'music'}, {'id': 7658, 'name': 'kansas'}, {'id': 11020, 'name': 'classic'}, {'id': 11409, 'name': 'imaginary land'}, {'id': 13001, 'name': 'cowardliness'}, {'id': 191616, 'name': 'sepia color'}]",False,2777000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",tt0032138,en,The Wizard of Oz,1939-08-15,33754967.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Wizard of Oz,919,32138,3.95,Salman Rushdie/Richard Maltby/Melvyn Bragg,4,69,749,British Film Institute,729564
9,35,223,"[{'id': 660, 'name': 'monte carlo'}, {'id': 818, 'name': 'based on novel'}, {'id': 965, 'name': 'age difference'}, {'id': 1328, 'name': 'secret'}, {'id': 1523, 'name': 'obsession'}, {'id': 3582, 'name': 'bride'}, {'id': 8079, 'name': 'cornwall'}, {'id': 9673, 'name': 'love'}, {'id': 9937, 'name': 'suspense'}, {'id': 11004, 'name': 'rural setting'}, {'id': 14769, 'name': 'devotion'}, {'id': 17997, 'name': 'housekeeper'}, {'id': 34079, 'name': 'death'}, {'id': 155881, 'name': 'estate'}, {'id': 188990, 'name': 'costume party'}, {'id': 195402, 'name': 'film noir'}, {'id': 228602, 'name': 'second wife'}]",False,1288000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",tt0032976,en,Rebecca,1940-04-12,6000000.0,130.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,Rebecca,928,32976,4.07,Daphne du Maurier/Sally Beauman,4.23,441,179639,Virago Press (UK),94648
